Rank,URL,Name,Industry,IncorporationYear,RevenueRsCrore,RevenueChange,NetOperatingIncomeRsCrore,NetOperatingIncomeChange,ProfitRsCrore,ProfitChange,AssetsRsCrore,AssetsChange,NetWorthRsCrore,NetWorthChange,EquityDividendRsCrore,EquityDividendChange,EmployeeCostRsCrore,EmployeeCostChange
898,https://www.fortuneindia.com/next-500/company/pratibha-syntex?year=2017,Pratibha Syntex,textiles & garments,1982,819.85,2.43,828.5,0.04,27.4,90.81,746.58,1.6,99.4,38.06,0,0,149.39,22.69
899,https://www.fortuneindia.com/next-500/company/sicom?year=2017,SICOM,non-banking financial services,1966,815.82,0.49,809.15,0,102.8,0,8198.81,16.01,1092.26,8.6,0,0,11.07,18.24
900,https://www.fortuneindia.com/next-500/company/vippy-industries?year=2017,Vippy Industries,food & agri products,1973,815.19,16,821.56,13.96,16.06,6.15,174.96,14.53,129.29,14.18,0,0,9.36,10.51
901,https://www.fortuneindia.com/next-500/company/mitsubishi-electric-automotive-india?year=2017,Mitsubishi Electric Automotive India,capital goods,1998,813.78,4.84,760.54,1,80.32,9.43,370.36,7.74,326.04,18.66,24.13,0,29.78,6.02
902,https://www.fortuneindia.com/next-500/company/credit-suisse-ag?year=2017,Credit Suisse AG,banking,2011,812.34,17.27,724.98,4.66,144.66,40.47,10445.67,0.87,1764.05,8.93,0,0,46.67,2.38
903,https://www.fortuneindia.com/next-500/company/dr-lal-pathlabs?year=2017,Dr Lal Pathlabs,healthcare,1995,811.09,20.71,791.32,19.97,132.19,38.16,534.44,47,507.35,61.35,20.27,0,136.83,1.82
904,https://www.fortuneindia.com/next-500/company/musigma-business-solutions?year=2017,Musigma Business Solutions,infrastructure development,2005,809.55,18.31,783.7,17.07,462.97,21.82,1348.66,53.6,1348.65,53.59,0,0,195.69,11.31
905,https://www.fortuneindia.com/next-500/company/srs-real-infrastructure?year=2017,SRS Real Infrastructure,engineering & construction,1990,809.3,19.26,805.93,18.88,17.68,0,645.95,3.95,214.03,7.61,0,0,6.8,0.29
906,https://www.fortuneindia.com/next-500/company/aym-syntex?year=2017,AYM Syntex,textiles & garments,1983,804.05,3.01,800.89,4.07,47.75,11.7,406.01,15.72,194.12,32.62,0,0,48.29,15.89
907,https://www.fortuneindia.com/next-500/company/netafim-irrigation-india?year=2017,Netafim Irrigation India,capital goods,1997,803.86,9.01,755.59,7.2,18.29,136.3,218.94,5.16,156.94,13.19,0,0,48.38,13.54
908,https://www.fortuneindia.com/next-500/company/spentex-industries?year=2017,Spentex Industries,textiles & garments,1991,800.53,9.46,799.08,12.29,104.77,0,500.35,6.31,386.46,0,0,0,89.6,0.62
909,https://www.fortuneindia.com/next-500/company/sasken-technologies?year=2017,Sasken Technologies,infotech,1989,799.53,11.64,483.17,12.89,206.29,72.54,505.86,11.19,499.01,11.65,56.7,0,342.76,8.81
910,https://www.fortuneindia.com/next-500/company/suryalakshmi-cotton-mills?year=2017,Suryalakshmi Cotton Mills,textiles & garments,1962,798.84,10.46,759.8,7.77,30.05,146.92,711.49,14.39,263.65,10.81,3,0,67.15,22.27
911,https://www.fortuneindia.com/next-500/company/claris-lifesciences?year=2017,Claris Lifesciences,drugs & pharmaceuticals,1994,797.38,9.17,754.21,17.88,58.04,0,1869.27,0.47,1252.31,4.89,10.91,0,86.75,17.13
912,https://www.fortuneindia.com/next-500/company/sunteck-realty?year=2017,Sunteck Realty,real estate,1981,794.08,150.6,786.49,159.7,162.77,138.81,2937.63,12.67,1634.29,11.16,12.59,0,7.64,39.42
913,https://www.fortuneindia.com/next-500/company/signet-industries?year=2017,Signet Industries,packaging,1985,791.64,14.92,793.57,20.92,17.41,48.8,310.61,7.49,104.89,20.18,1.46,0,13.66,11.06
914,https://www.fortuneindia.com/next-500/company/ester-industries?year=2017,Ester Industries,packaging,1985,786.33,12.19,770.82,14,4.56,18.75,614.64,5.89,287.28,7.64,0,0,44.56,8.18
915,https://www.fortuneindia.com/next-500/company/heg?year=2017,HEG,capital goods,1972,783.63,35.98,827.54,32.89,14.24,0,1736.57,10.27,922.61,1.92,0,0,63.24,3.55
916,https://www.fortuneindia.com/next-500/company/walchandnagar-industries?year=2017,Walchandnagar Industries,capital goods,1908,783.05,16.72,802.12,25.68,71.68,0,1024.33,7.86,112.32,40.24,0,0,135.83,46.95
917,https://www.fortuneindia.com/next-500/company/sita-shree-food-products?year=2017,Sita Shree Food Products,fmcg,1996,782.83,28.26,757.14,31.07,1.01,0,297.49,18.59,63.06,1.5,0,0,2.41,10.07
918,https://www.fortuneindia.com/next-500/company/intrasoft-technologies?year=2017,Intrasoft Technologies,infotech,1996,782.24,125.14,717.73,109.05,41.51,596.48,155.12,83.86,118.07,48.5,2.95,0,22.79,27.89
919,https://www.fortuneindia.com/next-500/company/metro-shoes?year=2017,Metro Shoes,leather,1977,780.75,5.81,767.19,9.29,82.05,3.52,392.07,18.35,388.28,18.3,18.41,0,63.32,10.18
